nameID,referenceID,page,link,remarks
1,42,9,https://www.biodiversitylibrary.org/page/726898,Original description
2,107,4,https://www.biodiversitylibrary.org/page/11149394,Original description
360,11,167,,Original description
360,11,168,,Male and female genitalia
360,11,445,,Illustration (Fig. 294d)
362,14,179,https://www.biodiversitylibrary.org/page/51525580,Original description
362,14,178,https://www.biodiversitylibrary.org/page/51525579,Male genitalia
362,152,8,https://www.biodiversitylibrary.org/page/51541297,Map showing location of Iebèlè Camp
363,5,204,https://www.nhm.ac.uk/our-science/data/lepindex/detail/?taxonno=204,Misspelling in LepIndex
42,5,61,https://www.nhm.ac.uk/our-science/data/lepindex/detail/?taxonno=61,Misspelling in LepIndex
43,78,89,,Original description
472,131,202,,Original description
473,131,202,,Original description
474,132,27,,Original description
475,132,28,,Original description
476,133,287,,Original description
477,132,30,,Misspelling
478,142,117,,Original description
479,150,2,,Original description
480,151,4,,Original description
94,153,106,,"Dorsal image, male and female genitalia"
94,153,107,,COI tree within Alucita
223,129,"Table VI, Figs. 172a,b",https://www.biodiversitylibrary.org/page/12834747,"Paintings, head and wing pattern"
223,117,450,https://www.biodiversitylibrary.org/page/593632,Material from Mexico
481,117,449,https://www.biodiversitylibrary.org/page/593630,New combination
482,117,450,https://www.biodiversitylibrary.org/page/593632,New combination
401,58,35,https://www.biodiversitylibrary.org/page/50361261,Original description
36,22,17,,Redescription
39,22,18,,Redescription
483,154,73,,Original description
483,154,72,,"Photographs: adult, larva, male and female genitalia"
484,155,138,,Original description
486,156,124,,Original description
485,156,124,,Original description
490,157,424,,"Original description, imago and male genitalia"
491,157,424,,"Original description, imago and male genitalia"
397,157,425,,"Adult and female genitalia previously illustrated for Microschismus premnias (Ustjuzhanin & Kovtunovich, 2011) are this species"
401,157,425,,Notes
403,157,426,,Notes
405,157,427,,KwaZulu Natal
406,157,427,,"Redescription, imago and female genitalia"
408,157,427,,Notes
409,157,427,,Notes
492,5,189,,Misspelling for Alucita stephanopis in LepIndex
264,62,408,https://www.biodiversitylibrary.org/page/9808826,Original description
398,64,373,https://www.biodiversitylibrary.org/page/60297733,Original description
399,64,374,https://www.biodiversitylibrary.org/page/60297733,Original description
122,66,534,https://www.biodiversitylibrary.org/page/60297894,Original description
242,66,535,https://www.biodiversitylibrary.org/page/60297895,Original description
163,66,537,https://www.biodiversitylibrary.org/page/60297897,Original description
493,162,2,,sp. nov.
494,163,27,,sp. nov.
495,163,28,,sp. nov.
496,163,30,,sp. nov.
497,163,32,,sp. nov.
498,163,33,,sp. nov.
499,163,34,,sp. nov.
500,163,36,,sp. nov.
501,163,37,,sp. nov.
502,163,38,,sp. nov.
503,164,41,,new species
504,165,83,,n. sp.
505,165,85,,n. sp.
507,167,60,,sp. n.
